id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
20141225	227306,tt1809398,1.769987,65000000,163442937,Unbroken,Jack O'Connell|Domhnall Gleeson|Garrett Hedlund|Takamasa Ishihara|Finn Wittrock,http://www.unbrokenfilm.com/,Angelina Jolie,Survival. Resilience. Redemption,prisoner of war|biography|sport|war|athlete,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",137,Drama|War,Legendary Pictures|3 Arts Entertainment|Jolie Pas,12/25/14,981,7.2,2014,59870918.3001448,150545826.582503
20141203	298533,tt3788052,0.018014,8500000,0,Corner Gas: The Movie,Brent Butt|Gabrielle Miller|Fred Ewanuick|Eric Peterson|Janet Wright,http://www.cornergasthemovie.com,David Storey,Dog River Has Always Been Flat. But Now It's Flat Broke.,,"Itâ€™s been a few years, and thereâ€™s still not a lot going on 40 kilometers from nowhere. But thatâ€™s all about to change as the fine folks of Dog River, Saskatchewan face their biggest crisis ever. Brent and the gang discover that the townâ€™s been badly mismanaged, leaving residents with little choice but to pack up and leave. As residents make one last rally to save Dog River as they know it, they discover a devious plan by a corporate chain that would change life for Dog Riverites forever.",90,Family|Comedy,Telefilm Canada|Bell Media,12/3/14,11,5.4,2014,7829273.9315574,0
20141126	266856,tt2980516,3.170271,15000000,121201940,The Theory of Everything,Eddie Redmayne|Felicity Jones|Harry Lloyd|David Thewlis|Emily Watson,,James Marsh,His Mind Changed Our World. Her Love Changed His.,biography|physicist|based on memoir|stephen hawking,A look at the relationship between the famous physicist Stephen Hawking and his wife.,123,Drama|Romance,Working Title Films,11/26/14,1960,7.8,2014,13816365.7615718,111638022.270139
20141121	305127,tt2567038,0.203043,0,0,The Frame,Christopher Soren Kelly|Cal Bartlett|Megan Heffernan|Marty Lindsey,http://doubleedgefilms.com,Jamin Winans,,,Two strangers find their lives colliding in an impossible way. Alex is a methodical cargo thief working for a dangerous cartel. Sam is a determined paramedic trying to save the world while running from her past.,127,Drama|Science Fiction,Double Edge Films,11/21/14,12,6.1,2014,0,0
20141114	205596,tt2084970,8.110711,14000000,233555708,The Imitation Game,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Allen Leech,http://theimitationgamemovie.com/,Morten Tyldum,The true enigma was the man who cracked the code.,gay|england|world war ii|mathematician|biography,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",113,History|Drama|Thriller|War,Black Bear Pictures|Bristol Automotive,11/14/14,3478,8,2014,12895274.7108004,215126072.495392
20141107	222649,tt2752688,0.138246,0,0,Rosewater,Gael GarcÃ­a Bernal|Shohreh Aghdashloo|Jason Jones|Haluk Bilginer|Nasser Faris,,Jon Stewart,,prison|biography|reporter|interrogation|iran,"In 2009, Iranian Canadian journalist Maziar Bahari was covering Iran's volatile elections for Newsweek. One of the few reporters living in the country with access to US media, he made an appearance on The Daily Show with Jon Stewart, in a taped interview with comedian Jason Jones. The interview was intended as satire, but if the Tehran authorities got the joke they didn't like it - and it would quickly came back to haunt Bahari when he was rousted from his family home and thrown into prison. Making his directorial debut, Jon Stewart tells the tale of Bahari's months-long imprisonment and interrogation in this powerful and affecting docudrama featuring a potent and performance by Gael GarcÃ­a Bernal recounting Bahari's efforts to maintain his hope and his sanity in the face of isolation and persecution-through memories of his family, recollections of the music he loves, and thoughts of his wife and unborn child.",103,Drama,Odd Lot Entertainment|International Traders|Busboy Productions,11/7/14,64,6.6,2014,0,0
20141104	298445,tt2526846,0.199012,0,0,I Am Santa Claus,Mick Foley|Artie Lange|Roddy Piper|Jerry Lawler|Sid Haig,,Tommy Avallone,,santa claus|christmas,"Everyone thinks of Santa Claus as a magical figure without flaws, but the men who keep his legend alive, real-bearded professional Santas, are nothing like the jolly ol' Saint Nick we've all grown up knowing. In reality, the mall Santa in your cherished children's photo has problems just like the rest of us. Even the jolliest of men fall victim to divorce, job loss, insecurity and even the occasional hangover. 'I Am Santa Claus' is a documentary that follows the lives of five real-bearded professional Santa Clauses as they anticipate and prepare the coming holiday season while showing them for who they actually are flawed, flesh and blood men who feel an overbearing responsibility to protect the integrity of the spotless, untarnished reputation of the ""Red Suit.""",89,Drama|Documentary|Comedy,Double Windsor Films,11/4/14,11,6.2,2014,0,0
20141029	288587,tt3480164,0.046303,0,0,Vie Sauvage,Mathieu Kassovitz|CÃ©line Sallette|David Gastou,,CÃ©dric Kahn,,,"The new film by French director CÃ©dric Kahn focusses on Philippe Fournier, a man who lives with his 2 sons, having decided not to give them back to their mother after she won custody of the children. The children Okyesa and Tsali must grow up in the shadow, hunted by the police but always free and on the move.",106,Drama,Les Films du Lendemain|Les Films Du Fleuve|Belgacom|France 2 CinÃ©ma,10/29/14,14,6,2014,0,0
20141020	254474,tt2784512,0.494022,0,14947,Zombeavers,Rachel Melvin|Cortney Palm|Lexi Atkins|Hutch Dano|Peter Gilroy,http://www.zombeavers.com/,Jordan Rubin,You'll be dammed!,beaver|zombies|animal attack,College friends find their weekend of sex and debauchery ruined when deadly zombie beavers swarm their riverside cabin.,85,Horror|Action|Comedy,BenderSpink|Armory Films,10/20/14,124,4.8,2014,0,13767.547935881
20141016	239571,tt1972779,1.63015,26000000,35926213,The Best of Me,Michelle Monaghan|James Marsden|Liana Liberato|Luke Bracey|Gerald McRaney,,Michael Hoffman,You never forget your first love.,nicholas sparks,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,117,Drama|Romance,Relativity Media,10/16/14,535,7.2,2014,23948367.3200579,33091313.2824092
