id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
8981,tt0377752,0.24591,0,0,Dear Frankie,Gerard Butler|Emily Mortimer|Sharon Small|Katy Murphy|Sophie Main,,Shona Auerbach,,scotland|father-son relationship|single parent|loss of father|violent father,"Nine-year-old Frankie and his single mum Lizzie have been on the move ever since Frankie can remember, most recently arriving in a seaside Scottish town. Wanting to protect her deaf son from the truth that they've run away from his father, Lizzie has invented a story that he is away at sea on the HMS Accra. Every few weeks, Lizzie writes Frankie a make-believe letter from his father, telling of his adventures in exotic lands. As Frankie tracks the ship's progress around the globe, he discovers that it is due to dock in his hometown. With the real HMS Accra arriving in only a fortnight, Lizzie must choose between telling Frankie the truth or finding the perfect stranger to play Frankie's father for just one day...",105,Drama|Family,Scottish Screen|Path̩ Pictures International|UK Film Council|Inside Track Productions|Sigma Films,5/18/04,17,6,2004,0,0
10064,tt0389957,0.499629,0,0,Edison,Morgan Freeman|Kevin Spacey|Justin Timberlake|LL Cool J|Dylan McDermott,,David J. Burke,"In this city, only the cops are above the law.",journalist|police brutality|metropolis|investigation|female judge,"Upon discovering a den of corrupt policemen, a fresh-faced journalist makes a shaky allies in a jaded reporter and investigator for a powerful district attorney.",99,Drama|Thriller,VIP 3 Medienfonds|Millennium Films|Emmett/Furla Films,7/29/05,50,5.6,2005,0,0
187017,tt2294449,2.805019,50000000,188441614,22 Jump Street,Jonah Hill|Channing Tatum|Dave Franco|Ice Cube|Nick Offerman,http://www.22jumpstreetmovie.com,Phil Lord|Christopher Miller,They're not 21 anymore,high school|undercover cop|buddy comedy|aftercreditsstinger|duringcreditsstinger,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",112,Crime|Comedy|Action,Columbia Pictures|Original Film|Media Rights Capital|Metro-Goldwyn-Mayer (MGM)|Cannell Studios,6/5/14,2416,7,2014,46054552.5385729,173571884.248329
2123,tt0183505,0.78353,51000000,149270999,"Me, Myself & Irene",Jim Carrey|Ren̩e Zellweger|Anthony Anderson|Robert Forster|Richard Jenkins,,Peter Farrelly|Bobby Farrelly,From gentle to mental.,schizophrenia|ex-cop|aftercreditsstinger|duringcreditsstinger,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",116,Comedy,Twentieth Century Fox Film Corporation|Conundrum Entertainment,6/22/00,521,5.9,2000,64580897.8315,189020688.933822
26748,tt0116905,0.397139,5000000,13269963,Lone Star,Chris Cooper|Matthew McConaughey|Elizabeth Pe̱a|Kris Kristofferson|Joe Morton,,John Sayles,John Sayles invites you to return to the scene of the crime.,sheriff|family secrets|dark secrets,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",135,Drama|Mystery|Romance,Castle Rock Entertainment|Columbia Pictures Corporation|Rio Dulce,6/21/96,27,6.6,1996,6951083.69480127,18448124.6879832
17792,tt0102585,0.251132,0,0,Omen IV: The Awakening,Faye Grant|Michael Woods|Michael Lerner|Madison Mason|Ann Hearn,,Jorge Montesi|Dominique Othenin-Girard,,,"Damien Thorn is dead, but his prophecy is reborn in a girl named Delia, who is adopted by two attorneys, Gene &amp; Karen York. When Karen realises her baby was born under suspicious circumstances, she hires a private investigator to find Delia's real parents. A series of bizarre accidents occur, and Karen begins to suspect everyone of conspiring her as she unravels the truth about her baby.",97,Fantasy|Horror|Mystery,FNM Films|Harvey Bernhard Productions,5/19/91,25,4.6,1991,0,0
16296,tt0095444,0.437627,2000000,0,Killer Klowns from Outer Space,Grant Cramer|Suzanne Snyder|John Allen Nelson|John Vernon|Royal Dano,,Stephen Chiodo,"In space, no one can eat ice cream.",clown|circus tent|ice cream truck|lovers lane|shadow puppet,"Aliens, who look like clowns, arrive on Earth to capture and harvest people in order to use them as sustenance.",88,Comedy|Horror|Science Fiction,Chiodo Brothers Productions|Sarlui / Diamant Production,5/27/88,54,5.1,1988,3687782.04618061,0
26178,tt0087981,0.140026,5500000,801000,Razorback,Gregory Harrison|Arkie Whiteley|Bill Kerr|Chris Haywood|David Argue,,Russell Mulcahy,It's waiting outside and it can sense your fear. No nightmare will prepare you for it!,wild boar|australia|animal attack|australian outback|ozploitation,In the Australian outback a vicious wild boar kills and causes havoc to a small community.,95,Horror,McElroy & McElroy|UAA Films|Western Film Productions,4/19/84,13,5.6,1984,11544731.2155678,1681332.67339451
82618,tt1817676,0.494655,5000000,0,Girl in Progress,Eva Mendes|Matthew Modine|Landon Liboiron|Patricia Arquette|Raini Rodriguez,http://www.girlinprogressmovie.com/,Patricia Riggen,"A tale of acting up, acting out, and acting your age.",latina|coming of age|mother daughter relationship|teenage girl|single mother,"As single mom Grace juggles work, bills, and her affair with a married doctor, her daughter, Ansiedad, plots a shortcut to adulthood after finding inspiration in the coming-of-age stories she's reading for school.",93,Comedy|Drama,Pantelion Films,5/11/12,29,5.3,2012,4748721.40676122,0
52505,tt1032825,0.362858,0,0,Love and Other Impossible Pursuits,Natalie Portman|Lisa Kudrow|Lauren Ambrose|Anthony Rapp|Scott Cohen,,Don Roos,Love makes everything possible.,based on novel,"Emilia is a Harvard law school graduate and a newlywed, having just married Jack, a high-powered New York lawyer, who was her boss -- and married -- when she began working at his law firm. Unfortunately, her life takes an unexpected turn when Jack and Emilia lose their newborn daughter. Emilia struggles through her grief to connect with her new stepson William, but is finding it hard to connect with this precocious child. Perhaps the most difficult obstacle of all for Emilia is trying to cope with the constant interferences of her husband's angry, jealous ex-wife, Carolyn.",102,Drama,Incentive Filmed Entertainment|Handsomecharlie Films,11/5/09,77,6,2009,0,0
